,PC1,PC2,PC3,PC4,PC5
Open,-0.15987916107714792,0.548414456701338,-0.5187492361474907,0.06775557705663487,0.08140359430720553
Close,0.13460455512431424,0.618461156226962,-0.010455864103352603,0.45085768297422507,0.037080200950295655
Volume,0.44196080842751073,0.19749662798649026,-0.2692372234146449,-0.25589165803164043,-0.2687397565091366
Daily_Return,0.36161931688819626,0.13908664898315326,0.6040670027321966,0.431258068408361,-0.061135822768212535
Price_Range,0.48049158727160723,0.05399297558755772,-0.09947280437414642,-0.3633147172397653,-0.23351300691445856
Volatility,0.47751507109266367,0.008033243120603134,0.09066993705958204,-0.1567882937885574,0.05127065382763306
Sentiment,0.1570852441910131,-0.4426509159730906,-0.4447139717517103,0.5976278474382154,-0.4579215602948924
Sentiment_Smoothed,0.38295404235821545,-0.24388062675895145,-0.2784203399048518,0.16411359601681497,0.805723717071903
